YNL034W	YNL034W	KTR5	YNL029C	1
IES4	YOR189W	INP53	YOR109W	1
IES4	YOR189W	DPB4	YDR121W	1
IES4	YOR189W	YGL149W	YGL149W	1
IRC9	YJL142C	SET4	YJL105W	1
YPL066W	YPL066W	SPA2	YLL021W	1
YPL066W	YPL066W	SKT5	YBL061C	1
YPL066W	YPL066W	SWI5	YDR146C	1
YPL066W	YPL066W	BEM2	YER155C	1
YPL066W	YPL066W	BCK1	YJL095W	1
YPL066W	YPL066W	AIM44	YPL158C	1
YPL066W	YPL066W	BUD6	YLR319C	1
YPL066W	YPL066W	CHS7	YHR142W	1
YPL066W	YPL066W	PGM1	YKL127W	1
YPL066W	YPL066W	RGD1	YBR260C	1
YPL066W	YPL066W	TPM1	YNL079C	1
YPL066W	YPL066W	FKS1	YLR342W	1
YPL066W	YPL066W	SMY1	YKL079W	1
YPL066W	YPL066W	YBL062W	YBL062W	1
YPL066W	YPL066W	CYK3	YDL117W	1
YPL066W	YPL066W	CHS6	YJL099W	1
BUD28	YLR062C	YLR065C	YLR065C	1
BUD28	YLR062C	VPS63	YLR261C	1
stt3-7	YGL022W	ALG5	YPL227C	1
stt3-7	YGL022W	OST3	YOR085W	1
stt3-7	YGL022W	ALG8	YOR067C	1
stt3-7	YGL022W	sec11-2	YIR022W	1
stt3-7	YGL022W	ost1-6	YJL002C	1
stt3-7	YGL022W	SWP1_damp	YMR149W	1
stt3-7	YGL022W	wbp1-1	YEL002C	1
stt3-7	YGL022W	CSF1	YLR087C	1
stt3-7	YGL022W	KRE1	YNL322C	1
stt3-7	YGL022W	ERD1	YDR414C	1
stt3-7	YGL022W	wbp1-2	YEL002C	1
stt3-7	YGL022W	LAS21	YJL062W	1
stt3-7	YGL022W	gab1-1	YLR459W	1
stt3-7	YGL022W	SCJ1	YMR214W	1
stt3-7	YGL022W	sec63-1	YOR254C	1
stt3-7	YGL022W	gwt1-20	YJL091C	1
stt3-7	YGL022W	OST2_damp	YOR103C	1
act1-124	YFL039C	myo2-16	YOR326W	1
act1-124	YFL039C	MSH2	YOL090W	1
act1-124	YFL039C	act1-120	YFL039C	1
act1-124	YFL039C	arc15-10	YIL062C	1
act1-124	YFL039C	BNI1	YNL271C	1
act1-124	YFL039C	cmd1-8	YBR109C	1
act1-124	YFL039C	SHE4	YOR035C	1
act1-124	YFL039C	SLA1	YBL007C	1
act1-124	YFL039C	act1-125	YFL039C	1
act1-124	YFL039C	ARC18	YLR370C	1
HOM3	YER052C	THR4	YCR053W	1
HOM3	YER052C	SER1	YOR184W	1
HOM3	YER052C	IES5	YER092W	1
HOM3	YER052C	SER2	YGR208W	1
HOM3	YER052C	FBP1	YLR377C	1
HOM3	YER052C	HOM6	YJR139C	1
HOM3	YER052C	YDR157W	YDR157W	1
HOM3	YER052C	HOM2	YDR158W	1
DIS3_damp	YOL021C	AIM33	YML087C	1
DIS3_damp	YOL021C	SPP382_damp	YLR424W	1
DIS3_damp	YOL021C	RSB1	YOR049C	1
DIS3_damp	YOL021C	RPG1_damp	YBR079C	1
