Gene ID	Gene systematic name	Gene common name	NPV hap alpha | growth (spot assay) | standard | YPG [3%] | Merz S~Westermann B, 2009
11	YAL013W	DEP1	-3.90563
4456	YMR158W	MRPS8	-3.90563
4371	YMR077C	VPS20	-3.90563
4489	YMR188C	MRPS17	-3.90563
623	YCR071C	IMG2	-3.90563
973	YHR006W	STP2	-3.90563
3583	YJR121W	ATP2	-3.90563
3584	YJR122W	IBA57	-3.90563
501	YCL007C	YCL007C	-3.90563
2810	YGL129C	RSM23	-3.90563
976	YHR009C	TDA3	-3.90563
1591	YKL194C	MST1	-3.90563
6077	YPR191W	QCR2	-3.90563
2816	YGL135W	RPL1B	-3.90563
993	YHR026W	VMA16	-3.90563
3188	YGR243W	MPC3	-3.90563
3425	YJL184W	GON7	-3.90563
1034	YHR067W	HTD2	-3.90563
3250	YJL003W	COX16	-3.90563
748	YER017C	AFG3	-3.90563
781	YER050C	RSM18	-3.90563
37	YAL039C	CYC3	-3.90563
2824	YGL143C	MRF1	-3.90563
4219	YML061C	PIF1	-3.90563
4310	YMR015C	ERG5	-3.90563
4316	YMR021C	MAC1	-3.90563
4331	YMR035W	IMP2	-3.90563
4448	YMR151W	YIM2	-3.90563
4447	YMR150C	IMP1	-3.90563
4003	YLR312W-A	MRPL15	-3.90563
4495	YMR193W	MRPL24	-3.90563
4530	YMR228W	MTF1	-3.90563
4558	YMR256C	COX7	-3.90563
4559	YMR257C	PET111	-3.90563
4569	YMR267W	PPA2	-3.90563
4584	YMR282C	AEP2	-3.90563
4588	YMR286W	MRPL33	-3.90563
4589	YMR287C	DSS1	-3.90563
4596	YMR293C	HER2	-3.90563
955	YHL038C	CBP2	-3.90563
978	YHR011W	DIA4	-3.90563
5877	YPL271W	ATP15	-3.90563
5821	YPL215W	CBP3	-3.90563
3450	YJL209W	CBP1	-3.90563
3421	YJL180C	ATP12	-3.90563
3814	YLR125W	YLR125W	-3.90563
3649	YLL027W	ISA1	-3.90563
3655	YLL033W	IRC19	-3.90563
3664	YLL042C	ATG10	-3.90563
5530	YOR318C	YOR318C	-3.90563
5542	YOR330C	MIP1	-3.90563
5587	YOR375C	GDH1	-3.90563
5058	YOL009C	MDM12	-3.90563
5082	YOL033W	MSE1	-3.90563
5132	YOL083W	ATG34	-3.90563
5278	YOR065W	CYT1	-3.90563
1018	YHR051W	COX6	-3.90563
1058	YHR091C	MSR1	-3.90563
1087	YHR120W	MSH1	-3.90563
5779	YPL173W	MRPL40	-3.90563
5778	YPL172C	COX10	-3.90563
5710	YPL104W	MSD1	-3.90563
5339	YOR127W	RGA1	-3.90563
5367	YOR155C	ISN1	-3.90563
5370	YOR158W	PET123	-3.90563
5452	YOR241W	MET7	-3.90563
5423	YOR211C	MGM1	-3.90563
3756	YLR067C	PET309	-3.90563
3758	YLR069C	MEF1	-3.90563
3759	YLR070C	XYL2	-3.90563
3780	YLR091W	GEP5	-3.90563
1115	YHR147C	MRPL6	-3.90563
373	YBR179C	FZO1	-3.90563
445	YBR251W	MRPS5	-3.90563
462	YBR268W	MRPL37	-3.90563
504	YCL010C	SGF29	-3.90563
559	YCR003W	MRPL32	-3.90563
2301	YDR175C	RSM24	-3.90563
2321	YDR194C	MSS116	-3.90563
2324	YDR197W	CBS2	-3.90563
2357	YDR230W	YDR230W	-3.90563
3606	YJR144W	MGM101	-3.90563
2241	YDR114C	YDR114C	-3.90563
2242	YDR115W	MRX14	-3.90563
3828	YLR139C	SLS1	-3.90563
3833	YLR144C	ACF2	-3.90563
3890	YLR201C	COQ9	-3.90563
3891	YLR202C	YLR202C	-3.90563
3892	YLR203C	MSS51	-3.90563
2474	YDR347W	MRP1	-3.90563
2477	YDR350C	ATP22	-3.90563
2502	YDR375C	BCS1	-3.90563
3007	YGR062C	COX18	-3.90563
3021	YGR076C	MRPL25	-3.90563
3047	YGR102C	GTF1	-3.90563
3095	YGR150C	CCM1	-3.90563
3112	YGR167W	CLC1	-3.90563
3116	YGR171C	MSM1	-3.90563
2423	YDR296W	MHR1	-3.90563
3125	YGR180C	RNR4	-3.90563
3160	YGR215W	RSM27	-3.90563
1401	YKL003C	MRP17	-3.90563
1414	YKL016C	ATP7	-3.90563
1512	YKL114C	APN1	-3.90563
1532	YKL134C	OCT1	-3.90563
1536	YKL138C	MRPL31	-3.90563
1566	YKL169C	YKL169C	-3.90563
1567	YKL170W	MRPL38	-3.90563
187	YBL099W	ATP1	-3.90563
4714	YNL081C	SWS2	-3.90563
188	YBL100C	YBL100C	-3.90563
5840	YPL234C	VMA11	-3.90563
2425	YDR298C	ATP5	-3.90563
2504	YDR377W	ATP17	-3.90563
5953	YPR066W	UBA3	-3.90563
322	YBR128C	ATG14	-3.90563
5100	YOL051W	GAL11	-3.90563
4384	YMR089C	YTA12	-3.90563
5619	YPL013C	MRPS16	-3.90563
5868	YPL262W	FUM1	-3.90563
199	YBR003W	COQ1	-3.90563
2243	YDR116C	MRPL1	-3.90563
5121	YOL071W	SDH5	-3.90563
2846	YGL165C	YGL165C	-3.90563
2965	YGR020C	VMA7	-3.90563
4885	YNL252C	MRPL17	-3.90563
2206	YDR079W	PET100	-3.90563
4846	YNL213C	RRG9	-3.90563
1478	YKL080W	VMA5	-3.90563
340	YBR146W	MRPS9	-3.90563
5742	YPL136W	YPL136W	-3.90563
3365	YJL124C	LSM1	-3.90563
3345	YJL102W	MEF2	-3.90563
3339	YJL096W	MRPL49	-3.90563
2274	YDR148C	KGD2	-3.90563
2071	YDL192W	ARF1	-3.90563
5562	YOR350C	MNE1	-3.90563
5057	YOL008W	COQ10	-3.90563
235	YBR039W	ATP3	-3.90563
1553	YKL155C	RSM22	-3.90563
5738	YPL132W	COX11	-3.90563
4771	YNL138W	SRV2	-3.90563
2364	YDR237W	MRPL7	-3.90563
5954	YPR067W	ISA2	-3.90563
292	YBR097W	VPS15	-3.90563
107	YBL019W	APN2	-3.90563
483	YBR289W	SNF5	-3.90563
2887	YGL206C	CHC1	-3.90563
2922	YGL240W	DOC1	-3.90563
1626	YKR006C	MRPL13	-3.90563
3207	YGR262C	BUD32	-3.90563
1310	YIL125W	KGD1	-3.90563
181	YBL093C	ROX3	-3.90563
5985	YPR099C	YPR099C	-3.90563
843	YER114C	BOI2	-3.90563
6104	YCR028C-A	RIM1	-3.90563
109	YBL021C	HAP3	-3.90563
6183	YER014C-A	BUD25	-3.90563
24	YAL026C	DRS2	-3.90563
222	YBR026C	ETR1	-3.90563
603	YCR046C	IMG1	-3.90563
5544	YOR332W	VMA4	-3.90563
5144	YOL095C	HMI1	-3.90563
5145	YOL096C	COQ3	-3.90563
6125	YLL018C-A	COX19	-3.90563
3361	YJL120W	YJL120W	-3.90563
4028	YLR337C	VRP1	-3.90563
3362	YJL121C	RPE1	-3.90563
705	YEL050C	RML2	-3.90563
1891	YDL012C	YDL012C	-3.90563
3502	YJR040W	GEF1	-3.90563
860	YER131W	RPS26B	-3.90563
706	YEL051W	VMA8	-3.90563
4060	YLR369W	SSQ1	-3.90563
1778	YFL016C	MDJ1	-3.90563
3745	YLR056W	ERG3	-3.90563
6002	YPR116W	RRG8	-3.90563
119	YBL031W	SHE1	-3.90563
120	YBL032W	HEK2	-3.90563
124	YBL036C	YBL036C	-3.90563
2464	YDR337W	MRPS28	-3.90563
1342	YIL157C	COA1	-3.90563
5684	YPL078C	ATP4	-3.90563
873	YER145C	FTR1	-3.90563
5412	YOR200W	YOR200W	-3.90563
3100	YGR155W	CYS4	-3.90563
1912	YDL033C	SLM3	-3.90563
2751	YGL070C	RPB9	-3.90563
