	hom | growth (relative abundance in pooled culture) | camptothecin [200 uM] | Hoepfner D~Movva NR, 2014
YDR431W	0.231
YBL002W	0.904
YJL066C	0.006
YGL170C	-0.203
YAR035W	0.527
YMR031W-A	-1.811
YJR082C	0.680
YNL309W	NaN
YMR008C	-0.465
YAL056W	-2.310
YNR072W	-1.965
YHR091C	0.335
YBR240C	0.325
YML101C	0.030
YPL027W	-0.006
YOR298C-A	0.400
YML108W	0.365
YDR111C	-0.846
YPL092W	-0.058
YNL096C	3.486
YDR021W	NaN
YLR328W	-0.256
YLR200W	0.349
YGR233C	0.563
YKR104W	-0.995
YLR183C	1.605
YIL090W	0.290
YCL045C	-0.331
YOR066W	-0.609
YDR353W	NaN
YGR091W	NaN
YOR222W	-0.182
YER096W	-0.175
YNL195C	0.529
YGR270W	0.070
YPL018W	0.819
YHR079C	-0.074
YFL014W	-1.197
YAR028W	1.472
YPL003W	-6.577
YNL184C	-0.225
YLR385C	-1.816
YKR028W	0.011
YKL081W	-0.751
YDR337W	3.693
YPL166W	-0.074
YMR174C	-0.645
YDR317W	0.210
YDR372C	-0.021
YDR276C	-0.030
YOR374W	0.014
YMR158W	2.455
YMR114C	-3.350
YML072C	-0.658
YKL100C	0.033
YML008C	-10.345
YLR300W	-0.137
YBL010C	-0.756
YDR055W	-0.006
YFR048W	-1.486
YLR187W	-0.088
YDR070C	-0.330
YDL173W	1.589
YMR153W	-1.316
YDR215C	0.000
YDR199W	-1.480
YIL038C	1.612
YGL122C	NaN
YDL174C	-0.958
YGL126W	-0.002
YCL022C	-0.060
YFR026C	0.128
YBL107C	0.012
YOL018C	-0.173
YOR356W	0.407
YER033C	0.874
YKL043W	0.005
YBR290W	-2.215
YFR041C	-0.004
YNL316C	0.579
YCR025C	0.065
YOR123C	1.665
YHR114W	0.930
YNR073C	-2.730
YGR015C	0.021
YPR119W	-3.988
YMR098C	1.867
YJL118W	-0.005
YCL042W	0.078
YLR043C	1.334
YGL253W	0.236
YLR173W	-0.818
YOR271C	-1.110
YDL041W	-3.639
YLR221C	0.234
YJL056C	0.403
YJR049C	0.026
YNL035C	0.966
YBL039C	3.973
YKR085C	1.876
YPL053C	-0.131
YJR153W	0.958
YBL007C	0.692
YER132C	0.280
YKL152C	NaN
YER030W	-1.478
YGR051C	0.308
YNL212W	-0.109
YJL005W	0.008
YBR148W	-0.274
YNL165W	NaN
YOR260W	NaN
YLL002W	-4.348
YCR067C	0.140
YJR040W	0.011
YOL081W	-2.701
YML120C	0.057
YGR037C	-0.426
YKL126W	NaN
YLR146C	-0.121
YJL134W	-0.022
YGR176W	-0.022
YDL066W	-5.627
YOR265W	-0.336
YOL033W	2.401
YNR018W	-0.788
YPL217C	NaN
YIL173W	-0.032
YMR278W	0.023
YKL207W	-1.153
YBR137W	-0.188
YLR334C	0.590
YDR133C	-0.928
YLR190W	1.572
YJL103C	0.527
YOL076W	NaN
YNL204C	1.070
YDR117C	0.021
YBR215W	0.465
YDL052C	-0.100
YOR178C	0.022
YMR136W	0.055
YDR136C	3.972
YAR043C	-0.715
YML125C	NaN
YJL208C	0.430
YOL151W	-0.003
YNR064C	-0.541
YLR396C	-0.637
YIL004C	NaN
YOR106W	-0.124
YIR015W	NaN
YPL244C	0.804
YNL295W	0.403
YMR115W	-0.108
YGL019W	-2.785
YDR453C	-0.767
YBR220C	-0.281
YLR349W	-1.351
YGL003C	0.861
YFL027C	-0.043
YMR033W	-1.209
YER108C	0.095
YLR308W	0.053
YGL085W	1.063
YJL107C	0.091
YNL129W	0.802
YGR195W	NaN
YDR522C	0.367
YML099C	0.008
YDR375C	0.033
YMR173W-A	1.632
YBL076C	NaN
YNR040W	-2.491
YER037W	-1.083
YGR001C	-0.007
YDR274C	0.006
YNL103W	NaN
YMR159C	-0.295
YPL099C	-0.567
YLR367W	-0.004
YPR098C	-0.144
YFR053C	-0.246
YGR229C	-1.447
YJL059W	NaN
YGR063C	0.159
YPL245W	0.616
YMR156C	1.978
YGR092W	-4.984
YLR219W	-0.083
YDR080W	-0.674
YPR008W	-0.517
YMR005W	NaN
YDR154C	0.729
YDR220C	1.029
YFR040W	0.347
YOL110W	-0.997
YMR288W	NaN
YBL058W	2.025
YDR149C	-3.273
YOL128C	-0.038
YBR242W	0.110
YBL037W	0.788
YBR282W	NaN
YKL068W	0.245
YNL066W	0.149
YER066W	0.042
YOL056W	-0.194
YCR060W	1.170
YJR098C	-0.268
YIL171W	NaN
YIL100W	-1.368
YGL035C	-0.038
YLR404W	-0.003
YEL006W	0.001
YPL172C	1.645
YNL049C	-0.092
YLR445W	0.014
YKL040C	-0.041
YLR273C	0.002
YDR455C	1.747
YPR159W	1.243
YLR109W	-0.520
YDR304C	0.095
YAL035W	1.640
YPR130C	0.015
YOL152W	-1.437
YIL123W	0.016
YDR160W	NaN
YKL199C	-0.173
YCL027W	-0.067
YHL010C	-0.044
YDL199C	0.684
YNL211C	1.378
YKR026C	0.035
YNL303W	0.970
YDR079W	0.266
YDL048C	-1.180
YMR155W	0.654
YML104C	0.697
YKL222C	-0.760
YPL195W	0.171
YLR214W	-0.035
YKR001C	0.437
YIL053W	1.153
YMR097C	4.736
YLR036C	-0.822
YGR228W	-1.414
YDL123W	-1.898
YOR033C	-2.783
YBR079C	NaN
YMR256C	1.806
YLR066W	NaN
YPL173W	1.956
YPR185W	0.014
YJR103W	0.332
YOR098C	NaN
YOR335C	NaN
YJL092W	-12.933
YIL025C	-0.694
YMR243C	-0.008
YKL008C	0.125
YDL068W	0.218
YIL158W	1.125
YLR453C	-0.018
YFR012W	-0.021
YMR037C	0.143
YLR048W	1.485
YHR080C	-0.001
YLR436C	0.768
YGR025W	-0.776
YBR251W	0.547
YGL059W	-0.814
YER162C	-0.055
YBR298C	2.935
YNL215W	-0.010
YNR021W	0.304
YFR015C	-0.454
YJL052W	0.902
YDR480W	1.454
YOR081C	-0.005
YPR095C	-0.830
YJL098W	-0.008
YPL254W	NaN
YEL050C	3.336
YJR130C	-0.113
YIR036C	0.025
YFR020W	-0.974
YDR169C	-0.625
YDR380W	-1.170
YNR051C	-1.779
YDR272W	0.448
YGR106C	-2.244
YDR332W	0.294
YGR043C	-0.756
YOR251C	-0.006
YMR164C	0.056
YIL018W	0.291
YOL082W	0.083
YLR418C	2.765
YIL102C	0.095
YIL140W	0.016
YJR111C	-2.383
YMR075C-A	-1.670
YMR019W	-0.490
YBR255W	1.388
YKR011C	0.176
YGR126W	-0.194
YKR036C	-0.651
YKL191W	-0.696
YIL114C	0.138
YMR274C	0.011
YHR076W	0.061
YHR207C	-2.150
YJR039W	-1.065
YJL186W	0.119
YDR537C	-2.282
YHR092C	-0.022
YGL112C	NaN
YOR317W	-0.024
YHR185C	0.108
YPL100W	-0.848
YNL063W	-0.741
YPL048W	-0.019
YBR102C	NaN
YLL049W	-0.846
YML106W	-0.328
YGR019W	0.421
YPR174C	-0.834
YJR014W	1.143
YJL215C	-0.085
YCR084C	0.005
YBR120C	1.123
YHR009C	-0.051
YAL011W	-1.212
YML009C	-0.047
YKL121W	-3.801
YHR153C	-0.753
YNL148C	0.888
YMR318C	-0.059
YMR305C	0.054
YLL019C	0.049
YDR179W-A	-0.003
YBR261C	-0.146
YLR414C	-0.062
YLR124W	0.130
YFL016C	0.267
YBR300C	0.536
YNL250W	-11.791
YMR023C	-0.668
YPL109C	0.088
YJL089W	1.704
YCR045C	0.923
YOL030W	1.294
YER161C	0.074
YJL021C	0.925
YBR051W	-0.140
YOR007C	-0.377
YIR020C	0.187
YOR157C	NaN
YLR443W	0.676
YIL063C	NaN
YGR187C	0.670
YMR147W	-0.627
YGR239C	-0.011
YGR108W	1.704
YCL062W	1.787
YGR058W	0.134
YLR369W	0.775
YDR443C	1.321
YPL211W	NaN
YDL047W	NaN
YBR263W	-0.088
YPR006C	0.077
YLR008C	NaN
YCR048W	-0.472
YMR086W	-0.019
YHR116W	0.196
YOR385W	-0.041
YKL139W	2.340
YCL014W	0.046
YNL271C	-5.168
YJR019C	0.002
YFL028C	-0.726
YDR221W	0.051
YJL132W	-0.680
YFL010C	-0.314
YGL133W	1.391
YER032W	-0.002
YEL016C	0.014
YOR183W	1.007
YOR171C	0.040
YNL076W	0.341
YKR065C	0.163
YCR083W	-0.185
YHR160C	2.023
YLR020C	-0.035
YDL216C	0.002
YDL053C	0.006
YHL033C	0.039
YPL084W	-0.304
YMR125W	NaN
YPR094W	NaN
YBR109C	NaN
YPL026C	0.024
YDR409W	-0.606
YBR173C	-0.019
YLL059C	-0.556
YMR073C	-0.344
YHR112C	0.071
YMR273C	0.380
YNL194C	0.178
YOR050C	0.678
YBR270C	-0.002
YAL022C	-0.024
YOR221C	0.162
YPL165C	-0.459
YMR002W	-0.020
YCL069W	-0.442
YDL128W	0.416
YDR386W	-15.412
YPL054W	0.442
YLR015W	0.696
YDR195W	0.487
YMR284W	-3.604
YJL079C	-0.035
YKL166C	-0.244
YIL160C	0.213
YJL053W	0.622
YDR385W	-0.001
YGR087C	1.212
YDR019C	-0.540
YAR002W	-5.250
YDR378C	-3.850
YGR097W	-0.323
YMR162C	0.019
YKL184W	-0.577
YIR019C	0.002
YMR202W	-5.173
YDR066C	-0.071
YDR049W	-1.374
YIR028W	0.488
YDR421W	-0.089
YNL227C	0.499
YCR106W	-0.226
YHR113W	0.001
YOR290C	2.677
YBR163W	0.604
YPR068C	-0.944
YLR423C	0.069
YBR216C	1.571
YBR117C	NaN
YML010W-A	2.720
YPL025C	0.053
YOR110W	NaN
YLR151C	0.027
YIL161W	0.221
YCR009C	-6.080
YPL219W	0.072
YDR370C	-0.562
YPL241C	0.012
YKR082W	-8.391
YDL179W	0.450
YPL203W	-0.633
YLR416C	0.016
YAL015C	-1.915
YOR172W	0.570
YCR071C	1.720
YKL023W	0.120
YDR533C	3.550
YOL043C	-0.005
YPR191W	0.065
YOR343C	-0.667
YML068W	-1.616
