## Lee~Giaver, 2005 (PMID 16121259)
## Homozygous deletion collection, growth (relative abundance in pooled culture)
ORF	cisplatin [500 uM], time [5 generations]	cisplatin [500 uM], time [overnight + 20 generations]	carboplatin [15 mM], time [5 generations]	oxaliplatin [4 mM], time [5 generations]	psoralen [0.5 uM], time [5 generations], radiation [unknown]	angelicin irradiated (angelicin [62.5 uM], time [5 generations], radiation [unknown])	mechlorethamine [62.5 uM], time [overnight + 5 generations]	mechlorethamine [62.5 uM], time [overnight + 20 generations]	mitomycin C [1 mM], time [5 generations]	streptozocin [2 mM], time [5 generations]	streptozocin [2 mM], time [overnight + 20 generations]	methyl methanesulfonate [0.002%], time [5 generations]	camptothecin [30 ug/ml], time [5 generations]	camptothecin [30 ug/ml], time [overnight + 20 generations]	2-dimethylaminoethyl chloride [240 mM], time [5 generations]	4-nitroquinoline N-oxide [0.0313 uM], time [5 generations]
YAL002W	-0.339	0.695	-0.824	-1.201	-0.747	-0.496	-0.359	0.737	-0.969	-0.489	-0.029	-0.202	-0.513	-0.196	0.091	-0.522
YAL004W	0.033	0.430	-0.283	-0.111	-0.195	-0.291	-0.104	0.216	-0.210	-0.334	0.239	-0.359	-0.244	0.150	0.141	-0.354
YAL005C	-0.047	0.511	-0.210	-0.164	0.215	-0.286	-0.102	0.505	-0.375	0.245	0.191	-0.294	-0.055	0.044	0.381	-0.884
YAL007C	-0.220	0.473	-0.085	-0.217	-0.133	-0.315	-0.108	0.606	-0.377	-0.088	0.450	-0.465	-0.162	0.043	0.120	-0.635
YAL008W	-0.361	0.233	-0.410	-0.268	-0.556	-0.306	0.036	-0.109	-0.291	-0.608	0.467	-0.741	-0.435	0.110	-0.443	-0.590
YAL009W	0.078	-0.293	-0.027	-0.210	-0.386	-0.464	-0.569	-0.784	-0.169	-0.486	0.800	-0.077	-0.371	-0.254	0.754	-0.789
YAL010C	0.948	-0.000	0.504	0.485	-0.003	-0.104	0.476	-0.000	1.286	0.131	-0.000	0.053	0.484	-0.000	0.556	0.991
YAL011W	-0.055	-1.945	0.362	-0.523	-0.552	-1.149	-1.060	-1.694	0.272	-0.493	-1.467	-0.213	-0.246	-1.369	0.334	-1.947
YAL012W	-0.379	-0.313	-0.167	-0.021	0.135	0.129	0.316	-0.014	0.871	0.008	-0.818	0.197	0.140	-0.426	-0.896	0.810
YAL013W	0.292	-0.262	0.343	0.277	-0.128	-0.422	-0.322	-0.451	-0.268	-0.146	-0.000	0.554	-0.044	-0.000	-0.125	-0.814
YAL014C	-0.161	0.407	-0.215	-0.411	-0.026	-0.006	-0.141	0.191	-0.591	0.079	0.170	-0.339	-0.210	0.121	0.369	-0.742
YAL015C	-0.432	-0.184	-0.306	-0.672	-0.286	-0.084	-0.837	-0.844	-0.980	-0.279	-0.427	-0.600	-0.573	-0.625	0.212	-1.356
YAL016W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YAL017W	-0.218	0.455	-0.313	-0.020	-0.284	-0.326	-0.169	0.239	-0.134	-0.054	0.371	-0.416	-0.355	0.241	0.304	-0.425
YAL018C	-0.093	-0.318	0.027	-0.342	-0.048	-0.150	-0.259	-0.159	-0.191	-0.152	0.298	-0.049	0.040	0.260	-0.268	-0.656
YAL019W	-0.004	-0.244	0.075	-0.018	-0.608	-0.012	-0.325	-0.062	0.013	-0.515	-0.027	0.018	0.065	-0.582	-1.453	-0.783
YAL020C	0.355	-0.509	0.084	-0.163	0.111	0.354	0.494	-0.390	0.574	0.149	0.701	0.225	0.039	0.294	0.279	-0.231
YAL021C	-0.447	-1.528	-0.315	-1.270	-1.634	-0.648	-1.796	-0.730	-2.288	-0.528	0.316	-0.173	-1.326	-1.088	-1.701	-0.750
YAL022C	-0.240	0.375	-0.166	-0.172	0.201	0.123	0.038	0.204	-0.233	-0.037	0.292	-0.483	-0.326	-0.005	0.259	-0.928
YAL023C	0.383	-0.000	0.289	0.016	-0.350	-0.035	0.749	-0.000	0.300	-0.097	-0.000	0.681	0.186	-0.000	-1.134	0.313
YAL024C	-0.632	-1.785	-0.315	-0.855	-0.053	-0.438	-2.304	0.063	-3.482	-0.281	-2.446	-0.956	-0.098	-1.424	0.594	-1.235
YAL026C	-0.675	-0.865	0.163	-0.374	-0.608	-0.501	-1.280	-1.342	-2.001	-1.388	-1.296	-0.445	-0.042	0.260	-1.137	-1.738
YAL027W	-0.691	-0.088	-0.578	-0.583	-0.411	-0.508	-0.452	0.143	-0.330	-0.310	0.143	-0.678	-0.334	0.131	-0.248	-1.206
YAL028W	-0.250	0.517	-0.291	-0.124	-0.157	-0.077	-0.024	0.254	-0.193	-0.155	0.348	-0.690	-0.447	-0.042	0.204	-0.678
YAL029C	0.215	0.421	-0.278	0.216	0.032	-0.648	0.352	0.020	0.362	0.006	0.605	0.049	0.089	0.348	-0.067	-0.758
YAL030W	-0.243	0.518	-0.494	-0.135	-0.211	-0.467	-0.058	0.487	-0.312	-0.239	0.259	-0.601	-0.383	0.129	0.081	-0.838
YAL031C	-0.190	0.681	-0.488	0.011	-0.117	-0.494	-0.040	0.204	-0.285	-0.019	0.219	-0.335	-0.078	0.092	0.064	-0.773
YAL034C	-0.491	-0.134	-0.273	-0.400	-1.240	-0.817	0.178	0.020	-0.507	-1.208	0.175	-0.186	-0.340	0.599	-1.134	-0.894
YAL035W	1.475	-0.000	0.544	1.112	0.115	-0.192	0.718	-0.000	2.082	0.485	-0.000	0.886	0.101	-0.000	0.293	-0.098
YAL036C	0.082	0.630	0.029	0.072	0.071	-0.076	0.173	0.181	0.054	0.278	0.212	-0.219	-0.177	0.162	0.372	-0.729
YAL037W	-0.169	0.518	-0.074	0.108	-0.541	-0.482	0.123	0.401	-0.104	-0.246	0.452	-0.506	-0.240	0.222	0.072	-0.764
YAL039C	-0.082	-0.859	0.490	0.078	-0.347	-0.005	-0.306	-0.308	0.771	-0.291	-0.117	0.349	-0.117	0.146	-0.589	-0.494
YAL040C	-0.915	-0.139	-0.169	-0.781	-0.851	-1.440	-0.830	-1.076	-0.743	-1.398	-0.009	-0.769	0.088	-0.933	-0.484	-1.032
YAL042W	0.045	0.361	0.036	-0.053	0.025	0.063	-0.223	0.208	0.067	0.047	0.384	-0.187	-0.032	0.143	0.188	-0.370
YAL043C-A	0.045	0.745	0.416	0.211	-0.043	0.275	0.021	0.246	0.334	0.273	0.604	0.098	0.126	0.247	-0.111	-0.283
YAL044C	0.156	-0.000	-0.022	-0.003	0.083	-0.398	0.129	-0.000	0.476	0.489	-0.000	-0.063	0.022	-0.000	-0.119	-0.093
YAL045C	-0.258	0.560	-0.321	-0.137	-0.098	0.014	0.005	0.355	-0.366	0.027	0.341	-0.626	-0.568	0.034	0.347	-0.673
YAL046C	-0.141	-0.000	-0.134	0.032	0.082	0.078	0.197	-0.000	-0.060	0.028	0.270	-0.453	-0.362	0.038	0.195	-0.870
YAL047C	-0.300	-0.000	-0.259	-0.582	0.030	0.100	0.170	-0.000	-0.496	0.501	-0.000	0.437	-0.094	-0.000	-0.642	0.840
YAL048C	-0.015	-0.000	-0.279	-0.196	-0.558	-0.136	0.065	-0.000	-0.214	-0.227	-0.713	-0.421	-0.358	0.126	0.037	-0.295
YAL049C	-0.104	0.225	-0.091	-0.201	-0.246	-0.019	-0.329	0.168	-0.259	-0.135	0.385	-0.225	-0.211	0.132	0.186	-0.349
YAL051W	-0.221	0.479	-0.132	-0.118	0.157	0.262	0.005	0.154	-0.414	0.384	0.222	-0.440	-0.345	0.134	0.526	-0.863
YAL053W	-0.151	0.238	-0.123	0.029	-0.205	0.191	0.114	0.259	-0.210	0.012	0.304	-0.513	-0.505	0.124	0.265	-0.610
YAL054C	-0.371	0.632	-0.395	-0.374	0.028	0.213	-0.162	0.036	-0.881	-0.015	0.405	-0.290	-0.277	-0.021	-0.105	0.142
YAL055W	-0.017	-0.142	-0.049	-0.048	0.268	0.292	0.184	0.124	-0.047	0.495	0.290	-0.343	-0.359	0.137	0.550	-0.780
YAL056W	-0.167	-0.000	-0.201	-0.391	0.004	-0.039	-0.203	-0.000	-0.573	0.133	0.205	-0.307	-0.154	0.139	-0.105	-1.077
YAL058C-A	0.120	0.347	0.080	0.142	0.182	0.463	0.488	0.327	-0.163	0.329	0.519	-0.067	-0.022	0.289	-0.080	0.070
YAL058W	-0.009	0.440	-0.118	-0.157	0.097	-0.033	0.173	-0.218	-0.235	0.256	0.693	-0.272	-0.377	0.315	-0.058	-0.806
YAL059W	0.123	0.834	-0.274	0.394	-0.270	-0.106	0.515	0.522	0.244	-0.113	0.540	-0.357	-0.391	0.420	0.083	-0.569
YAL060W	-0.188	0.421	-0.326	-0.124	-0.154	0.040	-0.051	0.557	-0.393	0.138	0.295	-0.542	-0.430	0.092	0.257	-0.765
YAL061W	-0.230	0.710	-0.219	-0.210	0.107	0.237	0.104	0.579	-0.356	0.135	0.249	-0.708	-0.672	-0.126	0.318	-0.956
YAL062W	-0.288	0.220	-0.168	-0.293	0.273	0.323	-0.004	0.273	-0.355	0.349	0.316	-0.558	-0.558	-0.013	0.471	-0.819
YAL064C-A	-0.209	0.549	0.036	-0.188	0.100	0.074	-0.174	0.496	-0.298	0.222	0.398	-0.221	-0.052	0.398	0.306	0.146
YAL065C	-0.106	-0.178	-0.136	-0.035	0.107	0.069	-0.071	0.267	-0.225	0.152	0.347	-0.359	-0.366	0.109	0.424	-0.713
YAL066W	-0.104	-0.115	-0.001	-0.226	-0.139	0.116	-0.055	0.220	-0.215	-0.390	0.250	-0.424	-0.274	-0.121	0.190	-1.082
YAL067C	-0.162	-0.331	-0.368	0.017	-0.374	-0.533	0.185	-0.069	-0.285	-0.337	0.286	-0.520	-0.058	0.241	-0.033	-0.951
YAL068C	-0.177	-0.003	-0.280	-0.049	-0.229	-0.116	0.159	0.242	-0.266	-0.022	0.319	-0.562	-0.359	0.064	0.313	-0.755
YAR002C-A	-0.237	-0.144	-0.126	-0.190	-0.059	0.385	0.218	-0.194	-0.048	-0.162	0.357	-0.315	-0.212	0.184	0.024	-0.387
YAR002W	-0.367	-0.000	-0.252	-1.097	-1.088	-0.897	-1.315	-0.000	0.574	-0.754	-0.000	0.366	-0.451	-0.000	0.386	-0.983
YAR003W	-0.239	-1.786	-0.478	-0.242	-0.600	-1.090	-0.313	-0.506	-0.429	-0.510	0.218	-0.491	-0.091	-2.461	-0.599	-0.735
YAR014C	0.432	-0.500	0.207	0.261	0.351	0.182	0.085	-0.463	0.350	0.150	-0.712	0.246	0.325	0.704	0.162	-0.725
YAR015W	0.478	-0.413	0.186	0.663	-0.027	-0.146	1.048	0.099	0.872	-0.573	-0.000	0.188	0.122	-0.000	0.032	-0.251
YAR018C	0.067	0.126	0.184	0.237	-0.585	-0.521	-0.290	-0.489	-0.282	-0.516	0.456	0.606	0.348	-0.186	-0.536	-0.905
YAR020C	-0.100	0.479	0.021	0.152	0.293	0.411	-0.175	0.216	-0.072	0.357	0.279	-0.315	-0.278	0.067	0.796	-0.820
YAR023C	-0.145	0.352	-0.046	-0.168	-0.064	0.188	-0.402	0.330	-0.346	0.059	0.195	-0.095	-0.060	-0.025	0.042	-0.889
YAR027W	-0.091	0.269	-0.221	-0.034	0.070	-0.122	-0.153	0.208	-0.274	0.144	0.244	-0.284	-0.226	0.218	0.368	-1.128
YAR028W	-0.313	-0.201	-0.104	-0.475	-0.520	-0.528	-0.302	0.309	-0.397	-0.585	0.254	-0.102	0.090	0.102	-0.301	-0.287
YAR029W	-0.492	0.515	-0.246	-0.266	-0.264	0.074	-0.048	0.429	-0.566	-0.048	0.211	-0.499	-0.281	0.186	0.295	-0.891
YAR030C	-0.281	0.536	-0.307	-0.159	-0.172	-0.015	-0.289	0.358	-0.375	0.181	0.252	-0.342	-0.362	0.190	0.561	-0.687
YAR031W	-0.217	0.614	-0.200	-0.089	0.194	0.357	0.002	0.387	-0.130	0.148	0.328	-0.468	-0.346	0.077	0.541	-0.695
YAR035W	-0.209	0.476	-0.338	-0.263	-0.384	-0.127	-0.158	0.324	-0.352	-0.217	0.405	-0.427	-0.360	0.274	-0.087	-0.531
YAR037W	-0.262	0.371	-0.471	-0.203	-0.144	-0.017	-0.007	0.380	-0.335	-0.200	0.286	-0.677	-0.486	0.034	0.189	-0.648
YAR040C	-0.389	0.192	-0.340	-0.338	-0.302	-0.116	-0.309	0.141	-0.070	-0.168	0.431	-0.188	-0.209	0.192	0.050	-0.515
YAR042W	-0.229	0.420	-0.505	-0.497	-0.738	-0.135	-0.402	0.194	-0.446	-0.313	0.541	-0.375	-0.355	0.244	-0.032	-0.393
YAR043C	0.032	0.083	0.005	-0.409	-0.332	-0.367	-0.164	-0.887	-0.255	-0.376	0.245	-0.080	-0.066	0.118	-0.251	-0.947
YAR044W	0.487	0.732	0.145	0.605	-0.260	-0.144	0.240	-0.160	0.415	-0.462	0.376	0.331	0.486	0.332	-0.094	-0.343
YAR047C	-0.060	0.307	-0.250	-0.283	-0.044	-0.265	-0.286	0.074	-0.654	-0.021	0.238	-0.104	-0.134	0.300	0.332	-0.627
YAR050W	0.100	0.277	0.032	0.166	0.233	0.271	0.177	-0.103	-0.144	0.191	0.124	-0.205	-0.155	-0.306	0.337	-0.314
YBL001C	-0.172	0.507	-0.182	-0.184	-0.085	-0.065	-0.307	0.002	-0.318	0.020	0.064	-0.227	-0.193	0.151	0.131	-0.036
YBL002W	-0.025	-0.118	-0.151	-0.266	-0.012	-0.048	-0.268	-0.219	0.123	-0.186	-0.115	-0.239	0.143	0.250	-0.285	0.253
